doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.1 -Scope,,,1027
" This appendix provides minimum requirements for design and anchorage of steel embedments used to transmit loads from attachments into reinforced concrete structures by means of tension, bearing, shear, friction, or any combination permitted by this appendix. Typical embedmentdetails and concepts as referenced in In addition to meeting these requirements consideration shall be given t0 the effect of the forces applied to the embedment on the behavior ofthe overall structure. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.1 -Scope,B.1.1,,1028
 The requirements for the attachment to the embedment shall be in accordance with applicable codes and are beyond the scope ofthis appendix. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.1 -Scope,B.1.2,,1029
 Design limits less conservative than those specified in this appendix may beusedby theEngineeriifsubstantiated by experimental or detailed analytical investigation. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.1 -Scope,B.1.3,,1030
"-Definitions AnchorSteel component used to transmit loads from the attachment into the concrete. Anchors include, but are not limited to, bolts, welded studs, threaded rods, bars, undercut anchors, and expansion anchors. Anchorage Theprocessofattaching a member orobjectto the concrete structure by means of an embedment, taking into consideration those factors (e.g- depth of embedment, edgedistance, and spacing ofanchors) which determine the load capacity ofthe anchorage system. Anchor head- -A nut, flat washer, plate, stud, or bolt head used totransmitloads fromthe tensile strength componentto the concrete by bearing. Attachment Theattachment thatstructureexternal tothesurfacesofthe embedmentwhich transmitsloadstotheembedment. Embedment The embedment is that steel component embedded in the concrete used to transmitapplied loadsto the concrete structure. The embedment may be fabricated of plates, shapes, bolts, reinforcing bars, shear connectors, expansion anchors, inserts, or any combination thereof, Expansion anchorComponent that 1S installed in a hole drilled in hardened concrete and then 1S expanded in order to transferloads into theconcrete by directbearingand/orfriction. Expansion mechanism -A mechanism used (0 transmit load from the tensile stress component to the concrete when used as part ofan expansion anchor. Grouted Embedments An embedment located ina formed or drilled hole in hardened concrete utilizing a grout t0 provide load transfer from the embedment to the concrete. InsertsCommercially available, predesigned, and prefabricated embedments installed priortoconcreteplacement which arespecifically designed for attachmentofbolted connections. Strength, design. -Nominal strength multiplied by a strength reduction factor O. Strength, nominal Strength ofa connection calculated in accordance with the provisions and assumptions of the strengthdesignmethod ofthiscode beforeapplication ofany strength reduction factors. Tensile stress component-That part of the embedment attached to the anchor head or expansion mechanism used to transmittensile loads to the concrete. Bed 2NICOZENI) DOSINOJOHCNY BEW 4 CHISANCEA STIFFENERS GROUT (ASREQUIRED) TENSION MEMRER BASEPLATE BEAMMEMBER a SHEARLUG 0 TENSIONMEMBER BOUNDADY STEELEMBEDMENT W/STANDARDHOOK ANCHORBOLT (DEFORMED MECHANICAL BASEPLATE OPTIONAL SLEEVES (STEELORPLASTIC) 4 0. \ 0 STUDS TYPEA BAR TYPEB DEVELOPMENT LENGTHWHEN W/STD.HOOX ALTERNATE ANCHORIBOLT PLATE ANCHORHEAD ANCHOR HEAD DEVECMMENTLENGIN Fig. B.1-2-Tension embedments- Typical embedmentdetails ALTERNATE ANCHOR-REBAR P P BOUNDARYOF STEEL EMAEDMENT v COMPRESSIONMEMBER BOUNDARYOF STEELEMBEDMENT TYPEB BASEPLATE IYPEB SHEARLUISS STIFFENERS STEELEMBEDMENT BOUNDARYof HEAD STUDS ORANCHORBOLTS STUDS SHEAREMBEDMENTS ORANCHORBOLTS P CONCRETE STRUCTURALSHAPE BOUNDARYOF STEELEMBEDMENT MEMBER GROUT COMINBATIONVEMBEDMENTS ANCHORLBOLTS 0 P IYPEA 0 TYPEA Fig. B.1:1--Bearing embedments← Typical embedment details (s100 NXONHN (DNIANDIN) 0 1036008W4 733.15 CONSTRUCTION (ASREQUIRED) HOLESFOR ㅎ AXVONNOE STUDS ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.2,,,1031
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,,,1032
 The embedment and surrounding concrete or grout shall bedesigned fortransmitting tothe concretestructureall loads used inthe designoftheattachment. Assumptionsused in distributing loads within the embedment shall be consistent with those used in thedesign of the attachment. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.1,,1033
" Reactionson the embedmentdue to individual loads such as dead, live (including vibratory loads), thermal, seismIc, and accident loads shall be considered. The loading combinations for embedment design shall be in accordance with9.2ofthis code. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.2,,1034
 Material and testing requirements for embedment steel shall be specifiedby theEngineer toensure that theembedment design is compatible with the intended function of the attachment. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.3,,1035
 Thedesign strength ofembedmentmaterials may be increased in accordance with Appendix C for embedments subjectto impactive and impulsive loads. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.4,,1036
" The strength of embedments as affected by the size and grade ofsteel, spacing, and depthofembedmentand any concrete dimensions which limit or restrict the transfer of loads from steel toconcrete shall be considered as defined in B.4, B.5, and B.6.  ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.5,,1037
 Plasticdeformation oftheembedment permitted forimpactive and impulsiveloading provided the strength of the embedment is controlled by the strength ofthe embedment steel as specified in B.5. For these conditions a maximum ductility ratio of3 may be considered. The definition of ductility ratio shall be as defined in AppendixC. ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.6,,1038
" A combination of bearing and shear friction mechanisms shall not be used to develop the design shear strength defined in accordance with 9.3 of this code. The available confining force afforded by the tension anchors in combination with external loads can, however, be utilized in determining the shear capacity ofanchorages with shear lugs. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.3 - General requirements and loading combinations,B.3.7,,1039
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.4 -Design requirements for concrete,,,1040
"B.4.4-Reinforcement Ifthe requirements ofB.5 are not satisfied, reinforcement shall be provided to develop the required strength. Reinforcement requirements shall be inaccordance with applicable sections of this code and placed to prevent failure ofthe concrete in tension. B.4.5-Bearing  ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.4 -Design requirements for concrete,"B.4.1  Thedesign provisions ofthis appendix are based on the strength design method. The assumptions, principles, and requirements ofthecode are applicable forall load combinations except as modified herein. B.4.2 Tension Thedesignpullout strength ofconcretePd for any embedment shall be based on a uniform tensile stress of40Jf: actingon an effectivestress area which iSdefined by theprojected area of stress cones radiating toward the attachment fromthebearing edgeoftheanchorheads. Theeffectivearea shall be limitedby overlapping stress cones, by the intersection of the cones with concrete surfaces, by the bearing area ofanchor heads, andby the overall thickness ofthe concrete (see Fig. B.4-1 and B.4-2). The inclination angle for calculating the projected area shall be 45 deg. The strength reduction factor 0 shall be as follows: a) Embedments anchored beyond the member far face reinforcement 0.85 b) Embedments anchored in a compression zone ofa member 0.85 Embedments anchored in a tension zone of a member where the concrete tension stress (based on an uncracked section) at the concrete surface 1s less than 5 for the load combinations and load factors defined in9.2 0.85 d) All other embedments 0.65 B.4.3 Shear The design shear strength of embedments subject to shear shall satisfy the requirements of B.5.1.2andB.6.2.2.",,1041
" The bearingrequirements of 10.15or 18.13ofthis Code shall apply to the average bearing stress at an anchor head except as permitted in B.4.5.2. The design bearingstrength used for concrete or grout placed against shear lugsshall not exceed4(1.3f'.AB) using a strength reduction factor 0 of0.70, For grouted installations, the valueroff's shallbethe compressivestrengthofthe grout or theconcrete whichever isless. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.4 -Design requirements for concrete,"B.4.1  Thedesign provisions ofthis appendix are based on the strength design method. The assumptions, principles, and requirements ofthecode are applicable forall load combinations except as modified herein. B.4.2 Tension Thedesignpullout strength ofconcretePd for any embedment shall be based on a uniform tensile stress of40Jf: actingon an effectivestress area which iSdefined by theprojected area of stress cones radiating toward the attachment fromthebearing edgeoftheanchorheads. Theeffectivearea shall be limitedby overlapping stress cones, by the intersection of the cones with concrete surfaces, by the bearing area ofanchor heads, andby the overall thickness ofthe concrete (see Fig. B.4-1 and B.4-2). The inclination angle for calculating the projected area shall be 45 deg. The strength reduction factor 0 shall be as follows: a) Embedments anchored beyond the member far face reinforcement 0.85 b) Embedments anchored in a compression zone ofa member 0.85 Embedments anchored in a tension zone of a member where the concrete tension stress (based on an uncracked section) at the concrete surface 1s less than 5 for the load combinations and load factors defined in9.2 0.85 d) All other embedments 0.65 B.4.3 Shear The design shear strength of embedments subject to shear shall satisfy the requirements of B.5.1.2andB.6.2.2.",B.4.5.1,1042
" For bolts meeting the requirements of ASTM Specifications A 307,A 325, or A490 orifthe anchor head at the base of the tensile stress component satisfies the fol- lowing conditions: (a) The bearing area of the anchor head including the area of the tensile stress component 1S at least 2.5 times the area of the tensile stress component. (b) The thickness ofthe anchor head is at least 1.0 times the greatest dimension from the outer most bearing edge of the anchor headto the face ofthetensile stresscomponent. (c) The bearing area of the anchor head is approximately evenly distributed around the perimeter ofthe tensile stress component. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.4 -Design requirements for concrete,"B.4.1  Thedesign provisions ofthis appendix are based on the strength design method. The assumptions, principles, and requirements ofthecode are applicable forall load combinations except as modified herein. B.4.2 Tension Thedesignpullout strength ofconcretePd for any embedment shall be based on a uniform tensile stress of40Jf: actingon an effectivestress area which iSdefined by theprojected area of stress cones radiating toward the attachment fromthebearing edgeoftheanchorheads. Theeffectivearea shall be limitedby overlapping stress cones, by the intersection of the cones with concrete surfaces, by the bearing area ofanchor heads, andby the overall thickness ofthe concrete (see Fig. B.4-1 and B.4-2). The inclination angle for calculating the projected area shall be 45 deg. The strength reduction factor 0 shall be as follows: a) Embedments anchored beyond the member far face reinforcement 0.85 b) Embedments anchored in a compression zone ofa member 0.85 Embedments anchored in a tension zone of a member where the concrete tension stress (based on an uncracked section) at the concrete surface 1s less than 5 for the load combinations and load factors defined in9.2 0.85 d) All other embedments 0.65 B.4.3 Shear The design shear strength of embedments subject to shear shall satisfy the requirements of B.5.1.2andB.6.2.2.",B.4.5.2,1043
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,,,1044
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.5.1  Anchoragedesign shall be controlledby thestrengthof embedment steel unless otherwise specified in this appendix.,,1045
"-Tension Steel strength controls when the design pulloutstrengtn of the concrete Pd as determined in B.4.2 exceeds the minimum specified tensile strength of the tensile stress component (based onfut) of the embedment steel, and full load transfer is accomplished from steel to concrete within the depth of theanchorage by one ofthe following methods: a) An anchor head at the base of the tensile stress components which satisfies the requirements of Section B.4.5.2. To prevent failure due tolateral bursting forces at anchor heads, the minimum side cover distance m shall be determined such that the lateral concrete design strength (based on a uniform tensile stress of 40 ~ ( acting on an effective area, including overlapping stress cones, defined by projecting a 45 deg cone from the anchor head to the free surface) exceeds the lateral bursting force unless the requirements of B.4.4 are met. The 0 factor shall be taken as 0.85 EFFECTIVE STRESS AREA 7 1 AREA * EFFECTIVESTRESS STRESS CONES EFFECTIVESTRESSAREA 0 2 AREA ""b"" EFFECTIVESTRESS 호 Yb+21d-2h) ""h 1 AREA ""h EFFECTIVESTRESS 스) 0 0 비 Pd A,=(a+248-2b)(6+2td-2h) 0 ""a A-A Fig. B.4-2-Stress area reductionforlimiteddepthA. [a+2.di2) 7.0 PLAN OF THEANCHORSTEEL STRESSAREAREDUCTION FORLIMITED DEPTH(Ar) 0 6 * REDUCE BYTHE TOTAL BEARINGAREA EFFECTIVE STRESS AREA CONTOLS INDIDDUALSTRESSCONE EDGE m OF ANCHORHEADS DEDUCT AREA Fig. B.4-1-Effective stress areaforanchoragepullout CONTOLS GROUP EFFECT STRESS CONES *REDUCEBY THETOTAL BEARINGAREAOF THEANCHORSTEEL STRESS CONES b) Reinforcing bars with development lengths in accordance with the requirements of Chapter 12, for anchor steel composed of reinforcement.  ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.5.1  Anchoragedesign shall be controlledby thestrengthof embedment steel unless otherwise specified in this appendix.,B.5.1.1,1046
" Shear B.5.1.2.1--Bolts, studs, or bars Bolts, studs, or bars shall meet the requirements of B.5.1.1. The minimum edge distance m for shear loading toward a free edge shall be such that the concrete design strength (based on auniform tensile stress of40jf. acting on an effective area defined by projecting a45deghalf-cone to the free surface from the centerline of the tensile stress componentat the shearing place) exceeds the ultimate shear strength ofthe bolts, studs, or bars (based onfut). B.5.1.2.2 Shearlugs The shear strength of grouted orcast-in-place anchorages with shear lugs shall include consideration of the bearing strength of the concrete or grout placed against the shear lugs, the shear strength of the concrete or grout placed between shear lugs and the confinement afforded by the tension anchors in combination with external loads. Shearloads toward free edges and displacement compatibility between shearlugsshall be considered. a) When multiple shear lugs are used to establish the design shear strength in a given direction, the magnitude of the allotted shear to each lug shall be in direct proportion to the total shear, the number of lugs, and the shear stiffness of each lug. b) For shear lugs bearing in the direction ofa free edge, the design shear strength for each lug shall be determined based ona uniformtensile stress of40 c actingon an effective stress area defined by projecting a 45degplane from the bearing edges of the shear lug to the free surface unless the requirements of B.4.4 are met. Bearing area ofthe shear lug shall be excludedfrom the projected area. The ㅇ factor shall be taken as 0.85 ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.5.1  Anchoragedesign shall be controlledby thestrengthof embedment steel unless otherwise specified in this appendix.,B.5.1.2,1047
" For combined tension and shear, the depth of embedment shall be in accordancewith B.5.1.1 and the minimum edge distance in accordance with B.5.1.2.1. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.5.1  Anchoragedesign shall be controlledby thestrengthof embedment steel unless otherwise specified in this appendix.,B.5.1.3,1048
" Wherereinforcement 1S provided in accordance with B.4.4, the minimum edgedistance shall not be less than one-third that required by B.5.1.2. The reinforcement shall also satisfy the concrete cover requirements in 7.7 of this code. B.6Design requirements for embedment steel ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.5.1  Anchoragedesign shall be controlledby thestrengthof embedment steel unless otherwise specified in this appendix.,B.5.1.4,1049
" Design strengthprovidedby the embedmentsteel in termsofflexure, axial load, shear, and torsion, shall be taken as the nominal strength calculated inaccordance with therequirements and assumptions of this section, multiplied by a strength reduction factorO. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.6.1,,1050
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.6.2  Strength reduction factor0 shall be as follows:,,1051
 Flexure and/or axial load 0.90 ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.6.2  Strength reduction factor0 shall be as follows:,B.6.2.1,1052
 Shear and torsion 0.85 ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.6.2  Strength reduction factor0 shall be as follows:,B.6.2.2,1053
" Embedment materials other than reinforcing bars shall have a minimum elongation of 14 percent in 2 inches when tested in accordance with ASTM A370. Embedment materials without a distinct yield point shall defined as the 0.2 percent strain offset method in ASTM A.370, ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.6.3,,1054
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,"B.6.4  Anchors that incorporate a reduced section in the load path shall satisfy one ofthe followingconditions: a) The ultimate tensile strength of the reduced section shall be greater than the yield strength of the unreduced section. b) For bolts, the length of thread in the load path shall be at least two anchor diameters. B.6.5--Anchors Anchors shall be designed for tension and shear loads in accordance with B.6.5.1, B.6.5.2 and B.6.5.3.",,1055
